episode_id,p1_archetype,p2_archetype,outcome,duration_sec,boss_hp_remaining,total_damage_to_boss,total_damage_to_players,p1_skills_unlocked,p2_skills_unlocked,phase_reached,cumulative_reward,boss_travel_dist,idle_ratio,fwd_ratio,rot_ratio,back_ratio
48,Melee,Ranged,TouchTimeout_Partial,30.0,0.923,462,90,1,1,0,-3.238,206.0,0.145,0.268,0.316,0.270
49,CC,CC,TouchTimeout_None,30.0,0.927,439,0,1,1,0,-3.628,228.9,0.105,0.280,0.289,0.327
50,Melee,CC,TouchTimeout_None,30.0,0.872,770,0,1,1,0,-3.820,210.0,0.160,0.257,0.283,0.300
51,Melee,Hybrid,TouchTimeout_Partial,30.0,0.938,375,0,1,1,0,-2.753,214.1,0.135,0.220,0.280,0.365

# === Session 2026-05-20 11:55:40 ===
episode_id,p1_archetype,p2_archetype,outcome,duration_sec,boss_hp_remaining,total_damage_to_boss,total_damage_to_players,p1_skills_unlocked,p2_skills_unlocked,phase_reached,cumulative_reward,boss_travel_dist,idle_ratio,fwd_ratio,rot_ratio,back_ratio
1,Ranged,CC,TouchTimeout_None,30.0,1.000,0,0,0,0,0,-4.446,98.5,0.196,0.230,0.344,0.230
2,Ranged,Hybrid,TouchTimeout_None,30.0,1.000,0,0,0,0,0,-3.976,109.5,0.169,0.227,0.308,0.296
3,Hybrid,CC,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-3.803,89.7,0.131,0.169,0.433,0.266
4,CC,Melee,TouchTimeout_None,30.0,1.000,0,0,0,0,0,-4.788,133.8,0.144,0.190,0.423,0.243
5,Ranged,Hybrid,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-3.634,179.5,0.207,0.223,0.320,0.250
6,CC,Hybrid,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-3.497,186.0,0.203,0.231,0.306,0.260
7,Ranged,Hybrid,TouchTimeout_None,30.0,1.000,0,0,0,0,0,-4.479,180.9,0.152,0.243,0.378,0.227
8,Melee,Hybrid,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-3.588,184.7,0.191,0.227,0.320,0.262
9,CC,Hybrid,TouchTimeout_None,30.0,1.000,0,0,0,0,0,-4.345,201.2,0.174,0.277,0.306,0.243
10,CC,Ranged,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-3.582,178.4,0.174,0.240,0.363,0.223
11,CC,Hybrid,TouchTimeout_None,30.0,1.000,0,0,0,0,0,-4.627,195.0,0.177,0.247,0.310,0.266
12,Ranged,CC,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-3.910,178.7,0.163,0.254,0.380,0.203
