Episode,Result,EndReason,Duration,BossPool,P1Pool,P2Pool,BossDmgDealt,PlayerDmgDealt,BossHpLeft,P1HpLeft,P2HpLeft,BossHits,BossCasts,P1Hits,P2Hits,CumulativeReward,FirstTouchP1,FirstTouchP2,P1DeathTime,P2DeathTime,BossTravelDist,UnlockedSkills,AvgDistBP1,MinDistBP1,MaxDistBP1,AvgDistBP2,MinDistBP2,MaxDistBP2,AvgDistP1P2,MinDistP1P2,MaxDistP1P2,BossAreaXZ,P1AreaXZ,P2AreaXZ,TargetSwitches,IdleRatio,FwdRatio,RotRatio,FacingRatio,CdWaitRatio,AvgCastDist,WallTime,CounterAttacks,CloseAlignFrames,RetreatFrames
307,BossLose,BossDeath,58.2,BossTankSustain,PlayerRangedKiter,PlayerRangedKiter,45,2000,0.00,1.00,0.85,1,12,16,8,-2.490,-1.0,-1.0,-1.0,-1.0,270.4,3,35.2,19.2,46.8,37.9,12.5,41.8,72.1,22.1,84.6,4103.8,9451.6,13101.2,55,0.001,0.929,0.070,0.683,0.475,31.9,0.00,1,1988,917
308,BossLose,BossDeath,61.5,BossTankSustain,PlayerRangedKiter,PlayerRangedKiter,80,2000,0.00,1.00,0.73,1,12,15,10,0.677,-1.0,-1.0,-1.0,-1.0,290.0,3,32.8,9.7,46.1,38.4,11.4,54.1,70.2,33.8,87.0,5544.8,7243.2,10580.9,35,0.000,0.943,0.057,0.668,0.585,27.8,0.00,0,2054,681
309,BossLose,BossDeath,56.5,BossTankSustain,PlayerRangedKiter,PlayerRangedKiter,2,2000,0.00,1.00,0.99,0,10,14,13,-5.297,-1.0,-1.0,-1.0,-1.0,262.8,3,35.0,14.3,47.8,38.0,11.1,48.7,72.3,22.6,89.9,4222.3,9727.8,11732.8,70,0.000,0.931,0.069,0.697,0.306,35.5,0.00,0,1967,835
310,BossLose,BossDeath,49.9,BossMeleeAggro,PlayerRangedKiter,PlayerRangedKiter,110,2000,0.00,0.63,1.00,1,13,10,10,-0.784,-1.0,-1.0,-1.0,-1.0,233.8,3,38.2,11.3,41.5,34.9,19.5,39.7,72.6,33.8,78.6,3012.4,11250.2,6460.7,35,0.000,0.937,0.062,0.921,0.592,34.5,0.00,0,2296,319
311,BossLose,BossDeath,45.1,BossMeleeAggro,PlayerRangedKiter,PlayerRangedKiter,0,2000,0.00,1.00,1.00,0,9,11,11,-3.754,-1.0,-1.0,-1.0,-1.0,210.5,3,38.6,11.0,52.1,33.9,14.2,40.3,71.5,22.6,87.3,2695.6,11946.6,5345.4,30,0.001,0.933,0.066,0.934,0.413,36.4,0.00,0,2109,236
312,BossLose,BossDeath,45.9,BossTankSustain,PlayerRangedKiter,PlayerRangedKiter,31,2000,0.00,1.00,0.90,0,7,11,10,-8.959,-1.0,-1.0,-1.0,-1.0,217.3,3,34.4,13.2,48.6,37.3,11.4,52.2,70.9,22.6,94.9,5038.6,11643.5,12761.7,25,0.000,0.948,0.052,0.616,0.228,31.4,0.00,0,1413,795
313,BossLose,BossDeath,51.7,BossTankSustain,PlayerRangedKiter,PlayerRangedKiter,113,2000,0.00,1.00,0.62,1,10,7,11,-5.821,-1.0,-1.0,-1.0,-1.0,242.0,3,37.1,14.1,43.7,32.3,11.0,43.8,68.1,22.6,82.1,6722.8,13118.2,11212.2,51,0.000,0.936,0.064,0.730,0.360,32.6,0.00,1,1887,1017
314,BossLose,BossDeath,56.5,BossRangedZoner,PlayerRangedKiter,PlayerRangedKiter,2,2000,0.00,1.00,0.99,0,9,15,9,-4.270,-1.0,-1.0,-1.0,-1.0,269.4,3,35.0,15.2,47.7,37.3,11.1,46.2,72.0,33.8,87.5,5928.8,10366.7,14235.0,45,0.000,0.954,0.046,0.624,0.343,33.9,0.00,0,1762,876
316,BossLose,BossDeath,41.8,BossMeleeAggro,PlayerRangedKiter,PlayerRangedKiter,101,2000,0.00,0.85,0.82,1,11,10,9,-11.666,-1.0,-1.0,-1.0,-1.0,198.0,3,36.1,19.5,47.7,36.0,10.8,42.8,71.7,33.8,86.2,4823.9,7718.7,14077.1,20,0.001,0.948,0.050,0.514,0.978,34.0,0.00,0,1074,908
317,BossLose,BossDeath,41.9,BossTankSustain,PlayerRangedKiter,PlayerRangedKiter,81,2000,0.00,1.00,0.73,1,7,5,11,8.587,-1.0,41.4,-1.0,-1.0,198.5,3,36.0,15.1,41.6,33.2,3.9,41.8,67.8,22.1,81.8,5605.3,6988.8,12446.3,29,0.000,0.947,0.053,0.775,0.205,30.7,0.00,1,1624,707
318,BossLose,BossDeath,51.3,BossRangedZoner,PlayerRangedKiter,PlayerRangedKiter,78,2000,0.00,0.78,0.96,1,13,14,10,-6.147,-1.0,-1.0,-1.0,-1.0,237.2,3,36.0,17.7,46.5,37.0,14.1,42.4,71.8,24.8,83.4,2420.0,6844.8,8920.0,75,0.002,0.924,0.074,0.582,0.971,31.7,0.00,1,1494,1023
319,BossLose,BossDeath,41.9,BossTankSustain,PlayerRangedKiter,PlayerRangedKiter,76,2000,0.00,0.75,1.00,1,9,7,9,-2.937,-1.0,-1.0,-1.0,-1.0,195.0,3,37.9,11.1,47.5,34.0,14.2,40.0,70.9,22.6,83.8,3144.9,10810.3,6042.9,30,0.001,0.932,0.067,0.910,0.710,31.6,0.00,0,1904,259
320,BossLose,BossDeath,41.2,BossMeleeAggro,PlayerRangedKiter,PlayerRangedKiter,129,2000,0.00,1.00,0.57,2,9,7,8,4.607,-1.0,38.3,-1.0,-1.0,191.6,3,37.4,14.1,55.3,32.2,4.7,43.5,68.9,29.0,91.7,5036.7,9294.1,11690.8,22,0.000,0.930,0.070,0.738,0.717,33.0,0.00,1,1520,793
321,BossLose,BossDeath,37.7,BossTankSustain,PlayerRangedKiter,PlayerRangedKiter,11,2000,0.00,1.00,0.96,0,8,9,7,-7.384,-1.0,-1.0,-1.0,-1.0,179.2,3,34.0,13.2,47.5,37.5,11.1,58.7,70.9,19.9,103.6,4680.2,8773.3,11855.2,20,0.002,0.950,0.048,0.688,0.985,30.9,0.00,0,1298,533
322,BossLose,BossDeath,41.3,BossMeleeAggro,PlayerRangedKiter,PlayerRangedKiter,41,2000,0.00,0.86,1.00,1,11,7,9,-8.307,-1.0,-1.0,-1.0,-1.0,189.5,3,37.1,13.2,47.6,32.9,14.2,44.3,69.0,22.6,86.3,3860.7,9289.2,8469.2,22,0.001,0.919,0.080,0.788,0.968,30.6,0.00,0,1626,779
323,BossLose,BossDeath,51.5,BossTankSustain,PlayerRangedKiter,PlayerRangedKiter,0,2000,0.00,1.00,1.00,0,5,7,13,-1.701,-1.0,-1.0,-1.0,-1.0,239.0,3,39.4,17.5,60.3,34.1,14.1,39.7,72.5,24.8,95.8,3665.8,11289.8,6154.4,28,0.000,0.928,0.072,0.868,0.190,35.5,0.00,0,2234,441
324,BossLose,BossDeath,56.9,BossRangedZoner,PlayerRangedKiter,PlayerRangedKiter,0,2000,0.00,1.00,1.00,0,15,8,15,0.186,-1.0,-1.0,-1.0,-1.0,266.8,3,38.3,12.0,41.7,35.0,19.5,40.5,72.8,33.8,79.8,3013.8,12548.7,6358.4,67,0.000,0.938,0.062,0.892,0.950,33.9,0.00,0,2536,424
325,BossLose,BossDeath,51.9,BossTankSustain,PlayerRangedKiter,PlayerRangedKiter,71,2000,0.00,0.99,0.78,1,14,8,14,-2.168,-1.0,-1.0,-1.0,-1.0,245.2,3,37.5,14.1,55.3,33.9,11.3,38.9,70.6,29.0,91.4,3590.4,11514.1,6265.4,25,0.000,0.946,0.054,0.804,0.846,31.3,0.00,1,2084,586
326,BossLose,BossDeath,51.0,BossRangedZoner,PlayerRangedKiter,PlayerRangedKiter,67,2000,0.00,0.78,1.00,1,9,8,11,-5.881,-1.0,-1.0,-1.0,-1.0,235.8,3,35.7,12.5,53.0,36.5,17.6,46.1,71.2,22.1,90.9,2949.0,7092.4,9965.1,42,0.001,0.924,0.074,0.630,0.283,31.6,0.00,1,1607,1135
327,BossLose,BossDeath,52.9,BossMeleeAggro,PlayerRangedKiter,PlayerRangedKiter,0,2000,0.00,1.00,1.00,0,10,12,9,-4.116,-1.0,-1.0,-1.0,-1.0,246.1,3,37.9,10.9,62.0,34.6,19.4,40.3,71.2,22.1,96.0,3616.7,10292.3,6776.7,25,0.001,0.931,0.068,0.819,0.383,33.3,0.00,0,2164,581
328,BossLose,BossDeath,46.6,BossMeleeAggro,PlayerRangedKiter,PlayerRangedKiter,114,2000,0.00,1.00,0.62,1,15,11,11,-7.117,-1.0,-1.0,-1.0,-1.0,214.4,3,36.4,13.4,52.5,38.0,11.5,54.4,73.6,19.9,96.8,5177.2,9440.5,15384.7,28,0.002,0.921,0.077,0.741,0.981,33.0,0.00,1,1724,610
329,BossLose,BossDeath,52.9,BossMeleeAggro,PlayerRangedKiter,PlayerRangedKiter,65,2000,0.00,1.00,0.78,1,15,12,6,-11.676,-1.0,-1.0,-1.0,-1.0,247.1,3,35.6,13.1,46.6,36.9,11.6,44.8,71.6,19.9,86.2,4405.7,9194.8,12493.7,64,0.000,0.934,0.066,0.541,0.991,32.9,0.00,0,1431,944
330,BossLose,BossDeath,51.0,BossMeleeAggro,PlayerRangedKiter,PlayerRangedKiter,227,2000,0.00,1.00,0.24,2,15,11,13,4.176,-1.0,-1.0,-1.0,-1.0,237.5,3,34.4,11.5,51.2,32.1,7.4,46.2,64.5,19.9,85.5,3456.5,7178.9,8576.9,28,0.002,0.932,0.067,0.689,0.926,27.7,0.00,1,1757,927
331,BossLose,BossDeath,55.9,BossTankSustain,PlayerRangedKiter,PlayerRangedKiter,0,2000,0.00,1.00,1.00,0,6,8,13,-5.938,-1.0,-1.0,-1.0,-1.0,259.5,3,34.3,10.1,52.6,33.5,8.3,42.4,66.3,22.1,84.9,3707.4,7872.9,8538.7,37,0.000,0.929,0.071,0.681,0.139,23.2,0.00,0,1901,1006
332,BossLose,BossDeath,46.2,BossMeleeAggro,PlayerRangedKiter,PlayerRangedKiter,206,2000,0.00,0.31,1.00,3,11,11,9,-7.281,-1.0,-1.0,-1.0,-1.0,212.4,3,33.3,9.1,62.7,36.6,19.5,46.4,69.1,33.8,96.7,3245.5,8461.4,8383.5,19,0.001,0.919,0.080,0.673,0.986,29.7,0.00,1,1556,748
333,BossLose,BossDeath,51.0,BossMeleeAggro,PlayerRangedKiter,PlayerRangedKiter,274,2000,0.00,0.80,0.29,3,17,10,9,-0.781,-1.0,-1.0,-1.0,-1.0,237.8,3,33.5,11.4,47.0,32.6,11.6,48.6,64.1,22.1,82.2,7393.2,14683.7,8537.6,20,0.000,0.933,0.067,0.604,0.965,28.2,0.00,2,1539,812
334,BossLose,BossDeath,51.4,BossMeleeAggro,PlayerRangedKiter,PlayerRangedKiter,73,2000,0.00,0.88,0.88,1,14,4,13,0.002,-1.0,-1.0,-1.0,-1.0,243.6,3,39.2,10.8,56.6,34.0,13.1,39.1,72.5,19.9,93.9,3617.3,11747.0,7345.9,7,0.001,0.949,0.051,0.981,0.894,33.9,0.00,0,2518,210
335,BossLose,BossDeath,42.1,BossRangedZoner,PlayerRangedKiter,PlayerRangedKiter,0,2000,0.00,1.00,1.00,0,9,6,10,-3.328,-1.0,-1.0,-1.0,-1.0,197.4,3,39.8,11.1,62.9,35.0,19.5,40.5,74.2,33.8,97.8,3023.5,12591.1,6217.7,23,0.002,0.939,0.059,0.922,0.925,32.9,0.00,0,1940,232
336,BossLose,BossDeath,44.2,BossTankSustain,PlayerRangedKiter,PlayerRangedKiter,0,2000,0.00,1.00,1.00,0,7,9,10,-8.036,-1.0,-1.0,-1.0,-1.0,209.2,3,34.7,10.3,45.9,35.7,13.0,52.3,69.0,19.9,82.2,6096.3,8496.2,15206.3,22,0.000,0.947,0.052,0.685,0.268,37.6,0.00,0,1512,1216
337,BossLose,BossDeath,59.6,BossMeleeAggro,PlayerRangedKiter,PlayerRangedKiter,125,2000,0.00,1.00,0.58,1,13,10,11,7.320,-1.0,42.7,-1.0,-1.0,272.2,3,36.9,14.1,57.7,34.2,4.8,75.7,67.6,24.8,98.4,4126.5,9335.2,11885.8,22,0.001,0.913,0.086,0.785,0.382,34.2,0.00,1,2338,827
338,BossLose,BossDeath,37.6,BossTankSustain,PlayerRangedKiter,PlayerRangedKiter,5,2000,0.00,0.98,1.00,0,8,5,9,-1.860,-1.0,-1.0,-1.0,-1.0,176.1,3,39.4,12.8,62.6,34.6,19.5,39.4,73.6,33.8,98.4,3300.4,13469.4,6258.1,33,0.002,0.937,0.061,0.927,0.978,32.4,0.00,0,1742,239
339,BossLose,BossDeath,51.3,BossRangedZoner,PlayerRangedKiter,PlayerRangedKiter,236,2000,0.00,0.94,0.28,2,13,9,8,-7.502,-1.0,-1.0,-1.0,-1.0,244.2,3,35.6,11.8,47.9,35.7,14.1,43.5,70.5,29.0,86.4,4236.3,6946.6,10830.7,31,0.002,0.952,0.047,0.494,0.944,29.9,0.00,2,1268,1246
340,BossLose,BossDeath,36.8,BossTankSustain,PlayerRangedKiter,PlayerRangedKiter,12,2000,0.00,0.96,1.00,0,4,7,9,-3.674,-1.0,-1.0,-1.0,-1.0,170.8,3,36.8,11.9,41.4,33.8,17.9,38.3,69.6,22.1,76.8,3320.3,10216.5,6107.2,29,0.002,0.928,0.071,0.914,0.212,35.9,0.00,0,1683,261
341,BossLose,BossDeath,38.3,BossTankSustain,PlayerRangedKiter,PlayerRangedKiter,0,2000,0.00,1.00,1.00,0,4,10,7,-11.069,-1.0,-1.0,-1.0,-1.0,173.8,3,35.3,14.1,46.8,37.5,16.0,41.4,71.8,24.8,84.4,1944.4,8588.4,7767.2,51,0.001,0.908,0.091,0.628,0.171,34.2,0.00,0,1202,670
342,BossLose,BossDeath,56.6,BossMeleeAggro,PlayerRangedKiter,PlayerRangedKiter,61,2000,0.00,0.80,1.00,1,16,6,13,-2.260,-1.0,-1.0,-1.0,-1.0,263.4,3,38.4,14.1,45.0,34.6,14.2,41.1,71.9,22.6,81.0,2765.6,10825.5,6005.3,50,0.001,0.930,0.069,0.890,0.879,34.4,0.00,0,2520,392
343,BossLose,BossDeath,41.2,BossTankSustain,PlayerRangedKiter,PlayerRangedKiter,41,2000,0.00,1.00,0.86,1,8,9,8,-8.718,-1.0,-1.0,-1.0,-1.0,193.5,3,34.7,14.2,46.4,37.0,11.4,58.3,70.8,22.6,98.0,3741.3,6692.6,13676.1,19,0.000,0.939,0.061,0.600,0.586,28.4,0.00,1,1236,592
344,BossLose,BossDeath,32.2,BossMeleeAggro,PlayerRangedKiter,PlayerRangedKiter,50,2000,0.00,1.00,0.83,1,8,7,7,-9.054,-1.0,-1.0,-1.0,-1.0,151.7,3,35.5,19.0,47.7,34.2,14.1,44.0,68.8,33.8,86.6,4678.2,7381.8,9933.9,21,0.000,0.944,0.056,0.464,0.999,28.4,0.00,0,746,755
345,BossLose,BossDeath,43.6,BossMeleeAggro,PlayerRangedKiter,PlayerRangedKiter,0,2000,0.00,1.00,1.00,0,10,8,11,-4.612,-1.0,-1.0,-1.0,-1.0,206.5,3,35.3,14.5,50.6,34.1,12.5,41.2,68.1,22.1,85.4,3695.3,9998.4,5698.4,32,0.001,0.946,0.053,0.726,0.818,30.7,0.00,0,1585,642
346,BossLose,BossDeath,56.2,BossTankSustain,PlayerRangedKiter,PlayerRangedKiter,32,2000,0.00,0.98,0.91,1,15,7,10,-4.841,-1.0,-1.0,-1.0,-1.0,259.9,3,36.1,14.3,47.4,35.3,11.4,52.0,70.6,22.6,94.6,3348.9,9983.3,7098.1,41,0.000,0.925,0.075,0.780,0.903,31.3,0.00,1,2193,688
347,BossLose,BossDeath,44.4,BossRangedZoner,PlayerRangedKiter,PlayerRangedKiter,69,2000,0.00,0.77,1.00,1,6,6,9,-5.062,-1.0,-1.0,-1.0,-1.0,211.0,3,36.0,11.2,48.8,34.0,13.1,40.2,68.9,19.9,84.9,3952.7,10839.5,6188.1,39,0.000,0.950,0.050,0.746,0.259,32.2,0.00,1,1657,586
348,BossLose,BossDeath,44.3,BossTankSustain,PlayerRangedKiter,PlayerRangedKiter,6,2000,0.00,0.98,1.00,0,7,9,9,-8.717,-1.0,-1.0,-1.0,-1.0,199.1,3,34.6,11.9,52.9,36.6,14.2,55.8,70.1,22.6,89.6,3232.3,10522.2,7680.8,17,0.002,0.899,0.099,0.670,0.244,31.2,0.00,0,1484,937
349,BossLose,BossDeath,44.5,BossTankSustain,PlayerRangedKiter,PlayerRangedKiter,5,2000,0.00,1.00,0.98,0,6,11,9,-4.174,-1.0,-1.0,-1.0,-1.0,206.3,3,37.0,12.1,62.9,31.4,10.9,40.8,67.2,29.0,99.2,4047.9,6900.9,6121.8,19,0.002,0.926,0.072,0.627,0.209,28.8,0.00,0,1397,798
350,BossLose,BossDeath,52.2,BossMeleeAggro,PlayerRangedKiter,PlayerRangedKiter,297,2000,0.00,0.40,0.61,4,15,9,9,-4.003,-1.0,-1.0,-1.0,-1.0,243.5,3,36.4,19.1,47.9,34.4,10.9,42.5,70.5,33.8,85.9,7315.9,12746.7,15550.3,38,0.001,0.932,0.067,0.653,0.976,27.3,0.00,1,1706,860
351,BossLose,BossDeath,66.3,BossTankSustain,PlayerRangedKiter,PlayerRangedKiter,0,2000,0.00,1.00,1.00,0,13,9,15,-1.830,-1.0,-1.0,-1.0,-1.0,311.9,3,38.7,11.5,59.9,34.8,14.3,43.0,72.2,22.6,96.1,5692.5,14955.1,10479.5,38,0.000,0.941,0.059,0.831,0.419,35.5,0.00,0,2754,799
352,BossLose,BossDeath,55.6,BossMeleeAggro,PlayerRangedKiter,PlayerRangedKiter,26,2000,0.00,1.00,0.91,1,16,7,13,-3.755,-1.0,-1.0,-1.0,-1.0,258.7,3,37.4,13.3,54.8,35.1,11.4,56.0,71.6,19.9,100.4,3543.3,10423.5,6118.3,30,0.000,0.932,0.068,0.786,0.814,32.3,0.00,0,2184,634
353,BossLose,BossDeath,52.7,BossMeleeAggro,PlayerRangedKiter,PlayerRangedKiter,300,2000,0.00,0.00,1.00,4,16,8,14,-1.726,33.2,-1.0,33.2,-1.0,242.3,3,31.2,5.0,46.8,35.5,14.1,46.9,66.1,24.8,85.2,6972.4,7825.4,7319.4,30,0.001,0.920,0.080,0.734,0.927,30.0,0.00,2,1934,712
354,BossLose,BossDeath,44.8,BossRangedZoner,PlayerRangedKiter,PlayerRangedKiter,0,2000,0.00,1.00,1.00,0,8,10,11,-6.044,-1.0,-1.0,-1.0,-1.0,212.5,3,36.6,12.4,49.7,34.0,12.8,39.8,69.5,19.9,84.6,3372.5,10384.4,6134.2,25,0.001,0.948,0.051,0.761,0.487,31.8,0.00,0,1706,549
355,BossLose,BossDeath,46.4,BossMeleeAggro,PlayerRangedKiter,PlayerRangedKiter,382,2000,0.00,0.28,0.44,1,9,11,7,-7.392,-1.0,-1.0,-1.0,-1.0,211.5,3,35.9,14.2,53.1,35.7,11.1,43.5,70.7,29.0,89.8,2488.1,8158.9,7283.6,48,0.000,0.912,0.088,0.647,0.635,29.0,0.00,0,1502,821
356,BossLose,BossDeath,42.1,BossMeleeAggro,PlayerRangedKiter,PlayerRangedKiter,77,2000,0.00,1.00,0.74,1,11,9,10,-8.199,-1.0,-1.0,-1.0,-1.0,198.4,3,36.4,14.1,41.8,34.5,17.6,40.2,69.7,24.8,79.4,3799.3,10371.9,5562.6,44,0.000,0.943,0.057,0.735,0.883,33.0,0.00,1,1546,617
357,BossLose,BossDeath,46.3,BossMeleeAggro,PlayerRangedKiter,PlayerRangedKiter,36,2000,0.00,1.00,0.88,1,10,10,7,-3.789,-1.0,-1.0,-1.0,-1.0,210.4,3,37.5,19.5,45.0,36.7,11.6,43.8,73.6,33.8,85.5,3417.6,9187.9,10998.7,54,0.000,0.909,0.091,0.776,0.730,32.8,0.00,1,1796,555
358,BossLose,BossDeath,52.8,BossMeleeAggro,PlayerRangedKiter,PlayerRangedKiter,79,2000,0.00,0.88,0.86,1,12,14,8,-1.946,-1.0,-1.0,-1.0,-1.0,243.9,3,35.3,14.2,44.6,40.7,11.4,59.5,72.7,22.6,93.8,2964.7,7747.2,9330.1,33,0.000,0.924,0.076,0.716,0.673,33.2,0.00,0,1891,604
359,BossLose,BossDeath,65.3,BossTankSustain,PlayerRangedKiter,PlayerRangedKiter,12,2000,0.00,0.96,1.00,0,12,9,11,-5.247,-1.0,-1.0,-1.0,-1.0,308.5,3,37.0,13.2,55.2,34.0,9.8,43.7,69.7,29.0,91.6,7614.3,13822.7,16824.3,51,0.000,0.945,0.055,0.751,0.323,34.6,0.00,0,2453,1197
360,BossLose,BossDeath,47.2,BossRangedZoner,PlayerRangedKiter,PlayerRangedKiter,12,2000,0.00,1.00,0.96,0,12,12,5,-8.398,-1.0,-1.0,-1.0,-1.0,217.7,3,35.5,18.3,45.3,37.8,14.1,46.7,71.9,24.8,84.1,3224.5,7889.2,9648.1,46,0.000,0.922,0.078,0.660,0.980,32.1,0.00,0,1560,703
361,BossLose,BossDeath,52.3,BossTankSustain,PlayerRangedKiter,PlayerRangedKiter,0,2000,0.00,1.00,1.00,0,9,8,12,-2.062,-1.0,-1.0,-1.0,-1.0,244.9,3,37.9,13.6,46.6,34.0,14.2,39.9,71.1,22.6,82.2,3563.1,10664.0,6070.2,42,0.001,0.936,0.063,0.887,0.366,35.0,0.00,0,2321,402
362,BossLose,BossDeath,51.4,BossTankSustain,PlayerRangedKiter,PlayerRangedKiter,0,2000,0.00,1.00,1.00,0,8,11,11,1.126,-1.0,-1.0,-1.0,-1.0,242.0,3,39.5,12.4,62.2,34.6,19.5,39.1,73.7,33.8,96.5,3584.5,13612.4,6873.9,33,0.000,0.941,0.058,0.940,0.406,36.2,0.00,0,2416,292
363,BossLose,BossDeath,65.5,BossTankSustain,PlayerRangedKiter,PlayerRangedKiter,162,2000,0.00,0.46,1.00,0,13,8,16,-2.525,-1.0,-1.0,-1.0,-1.0,308.7,3,37.1,11.6,51.3,34.4,13.4,39.6,70.4,19.9,84.4,3241.7,11166.7,5454.0,55,0.000,0.943,0.057,0.775,0.419,34.1,0.00,0,2535,810
364,BossLose,BossDeath,44.4,BossRangedZoner,PlayerRangedKiter,PlayerRangedKiter,176,2000,0.00,0.41,1.00,0,6,8,10,-6.140,-1.0,-1.0,-1.0,-1.0,203.5,3,36.3,14.2,52.9,34.1,11.1,46.4,69.1,22.6,89.7,3452.4,10107.4,6461.9,27,0.001,0.917,0.082,0.740,0.284,33.6,0.00,0,1643,593
365,BossLose,BossDeath,32.1,BossTankSustain,PlayerRangedKiter,PlayerRangedKiter,226,2000,0.00,0.41,0.83,1,7,6,7,-5.532,-1.0,-1.0,-1.0,-1.0,152.0,3,34.9,14.0,55.4,33.2,11.3,39.8,66.6,29.0,91.4,4029.7,10747.6,5539.6,21,0.002,0.948,0.050,0.696,0.949,25.6,0.00,1,1115,500
366,BossLose,BossDeath,37.3,BossRangedZoner,PlayerRangedKiter,PlayerRangedKiter,7,2000,0.00,1.00,0.98,0,8,9,5,-6.001,-1.0,-1.0,-1.0,-1.0,174.6,3,34.4,14.1,50.9,36.9,17.5,41.0,70.4,24.8,85.5,4392.7,7738.2,12495.6,24,0.000,0.936,0.064,0.635,0.959,28.8,0.00,0,1184,657
367,BossLose,BossDeath,39.5,BossMeleeAggro,PlayerRangedKiter,PlayerRangedKiter,0,2000,0.00,1.00,1.00,0,10,6,9,7.540,-1.0,38.2,-1.0,-1.0,184.1,3,37.5,11.3,55.5,32.3,4.5,42.5,69.1,29.0,96.7,4119.0,10440.8,9426.6,18,0.002,0.932,0.066,0.796,0.919,34.1,0.00,0,1572,461
368,BossLose,BossDeath,34.6,BossTankSustain,PlayerRangedKiter,PlayerRangedKiter,202,2000,0.00,0.33,1.00,2,9,8,5,-8.806,-1.0,-1.0,-1.0,-1.0,156.9,3,34.2,9.8,55.7,36.4,12.9,42.6,69.7,19.9,94.6,2010.8,7308.0,8943.0,40,0.002,0.908,0.090,0.668,0.972,30.6,0.00,1,1154,565
369,BossLose,BossDeath,49.2,BossRangedZoner,PlayerRangedKiter,PlayerRangedKiter,204,2000,0.00,0.57,0.75,1,12,8,7,18.816,-1.0,36.8,-1.0,-1.0,222.5,3,34.8,8.5,55.1,30.5,4.4,47.5,62.2,18.9,91.4,6139.7,9939.2,12431.6,24,0.000,0.904,0.095,0.858,0.984,24.9,0.00,0,2111,352
370,BossLose,BossDeath,73.3,BossRangedZoner,PlayerRangedKiter,PlayerRangedKiter,189,2000,0.00,0.37,1.00,3,15,16,10,-4.000,-1.0,-1.0,-1.0,-1.0,348.2,3,30.6,9.2,48.2,37.5,12.8,46.9,67.5,22.6,91.4,7321.7,10680.1,11862.1,45,0.000,0.951,0.049,0.680,0.417,27.1,0.00,2,2492,1097
371,BossLose,BossDeath,55.9,BossTankSustain,PlayerRangedKiter,PlayerRangedKiter,3,2000,0.00,1.00,0.99,0,9,15,6,-7.003,-1.0,-1.0,-1.0,-1.0,258.5,3,35.8,14.2,46.3,39.5,10.6,54.3,73.7,22.6,97.7,3285.4,7413.8,12350.4,39,0.001,0.924,0.075,0.721,0.485,32.9,0.00,0,2017,675
372,BossLose,BossDeath,46.6,BossTankSustain,PlayerRangedKiter,PlayerRangedKiter,1,2000,0.00,1.00,1.00,0,7,5,12,-2.492,-1.0,-1.0,-1.0,-1.0,214.5,3,39.6,19.5,63.8,34.5,13.6,39.5,73.5,33.8,98.4,3380.0,11331.9,6476.2,28,0.000,0.921,0.079,0.858,0.233,34.6,0.00,0,2000,419
373,BossLose,BossDeath,49.5,BossTankSustain,PlayerRangedKiter,PlayerRangedKiter,0,2000,0.00,1.00,1.00,0,11,11,7,-8.339,-1.0,-1.0,-1.0,-1.0,232.9,3,35.6,18.2,47.0,36.4,14.1,43.9,71.2,24.8,83.3,4389.7,9362.8,14356.5,29,0.002,0.942,0.057,0.503,0.645,30.7,0.00,0,1243,752
374,BossLose,BossDeath,50.6,BossTankSustain,PlayerRangedKiter,PlayerRangedKiter,3,2000,0.00,1.00,0.99,0,7,13,10,-5.793,-1.0,-1.0,-1.0,-1.0,238.8,3,34.6,11.3,48.3,37.0,18.7,41.5,70.9,22.1,85.6,7436.0,13533.8,15299.6,39,0.000,0.944,0.055,0.676,0.265,32.9,0.00,0,1709,810
375,BossLose,BossDeath,59.3,BossMeleeAggro,PlayerRangedKiter,PlayerRangedKiter,59,2000,0.00,0.80,1.00,1,15,11,15,-0.028,-1.0,-1.0,-1.0,-1.0,276.1,3,38.4,12.8,42.5,34.8,17.2,41.3,72.3,22.1,80.2,3022.6,11832.7,5636.1,47,0.001,0.932,0.067,0.933,0.600,33.0,0.00,1,2765,379
376,BossLose,BossDeath,38.6,BossTankSustain,PlayerRangedKiter,PlayerRangedKiter,0,2000,0.00,1.00,1.00,0,5,8,7,-1.631,-1.0,-1.0,-1.0,-1.0,180.8,3,39.4,11.5,59.9,33.7,14.2,39.0,72.2,22.6,96.1,3354.6,13169.3,5662.1,20,0.002,0.936,0.062,0.951,0.092,35.1,0.00,0,1838,180
377,BossLose,BossDeath,55.6,BossRangedZoner,PlayerRangedKiter,PlayerRangedKiter,0,2000,0.00,1.00,1.00,0,10,10,13,6.804,-1.0,-1.0,-1.0,-1.0,262.5,3,36.3,5.4,54.5,34.2,11.9,42.9,68.7,29.0,91.0,3696.1,11367.5,6068.8,42,0.001,0.944,0.056,0.753,0.499,32.7,0.00,0,2095,800
378,BossLose,BossDeath,41.3,BossMeleeAggro,PlayerRangedKiter,PlayerRangedKiter,94,2000,0.00,0.84,0.84,1,9,10,10,-3.222,-1.0,-1.0,-1.0,-1.0,189.6,3,36.7,14.3,45.9,35.5,11.0,56.8,71.1,22.6,99.4,3219.5,10471.1,7904.7,21,0.000,0.918,0.082,0.830,0.902,31.7,0.00,1,1715,393
